contract_id,contract_signed_at,channel
8bd05059-c06b-4284-8024-647559922c94,2025-10-01,카카오
aacca041-ddaa-463b-b9ca-475b200fdc80,2025-10-01,카카오
af5defcb-bcff-4838-b2df-cfefc2a30ba7,2025-10-01,카카오
70be575d-4f41-4989-9a70-79f137f5604c,2025-10-01,카카오
a5016e59-d78f-4913-ae2d-f9628188d268,2025-10-01,카카오
3a5c964d-77a1-4c2d-9195-3b316b339227,2025-10-01,카카오
aa38081b-1151-4f32-bee7-433e1c17fadc,2025-10-01,카카오
bdc19145-e878-4b14-9685-2ce88589f8a8,2025-10-01,카카오
9efb72a7-1625-40be-982d-559051f61b93,2025-10-01,카카오
7a7bfb18-49d8-4a8f-ae3b-e8333a289b99,2025-10-01,토스
45e60392-bf0d-4f88-8ad2-06c20792be00,2025-10-01,토스
f044bbe3-c151-4758-bc5e-cf373e38ec3a,2025-10-01,토스
617c669b-b5fe-4715-8722-f79c998646a9,2025-10-01,토스
8a8b45af-2dce-4ebc-9abe-bbc58534b7c3,2025-10-01,토스
8e3f1926-1d8c-454f-87d4-56c037526a9c,2025-10-01,토스
3442dba4-a5a2-4184-943c-b905c5462bb2,2025-10-01,구글
0aa63682-088d-43bb-a88a-a4f4b2ebb53b,2025-10-01,구글
8e2117cb-23f6-4bc2-ac74-c36e20d256d0,2025-10-01,구글
85e35c6b-6265-415e-8127-8955f55a8de0,2025-10-01,구글
98b140cc-11b3-45f2-9909-f33084accec0,2025-10-01,구글
90bb04b9-3622-47f2-8814-b42feb696c70,2025-10-01,구글
05bdeaeb-6416-43b7-8c3a-a6b772076bb2,2025-10-01,구글
61ddd6ef-d757-4c45-8d64-554001733da9,2025-10-01,구글
d530dce1-c78f-47a3-9d7a-17438baf2380,2025-10-01,구글
9cf9d568-a18e-45f8-9dfc-5d12ab71ac74,2025-10-01,구글
79af0723-dba4-404f-b8ed-f574ed7ee0cc,2025-10-01,구글
635ba3b6-7539-4296-8b70-6817edc31b71,2025-10-01,메타
2baf539b-3c63-4e2e-b659-95f9e8449057,2025-10-01,메타
149938ed-c2e6-4307-970f-d41ce820f3ac,2025-10-01,메타
ad80d4b8-021b-457d-9b74-faa8e43d55e2,2025-10-01,메타
f5ddfe49-9c22-4393-a153-7ed2f0a9579e,2025-10-01,메타
052c1553-561c-42e5-82f8-1c68d0ce0c15,2025-10-01,메타
