premium_event_id,premium_recognized_at,channel,premium_amount
49d3a98f-2401-4311-b31a-7864156b8f4d,2025-10-01,카카오,1253997.6696610376
0cfd2379-d9dc-4e7c-a111-f9bc5419bc48,2025-10-01,카카오,1210186.4880430053
187bbcb9-9d2b-4738-a5c3-b469e9dee66e,2025-10-01,카카오,943327.3090767328
4eb7e3a4-6cdd-4edd-9bff-ac6671db9003,2025-10-01,카카오,1367633.2827812242
36719426-bea4-4d69-be46-dd774f40063d,2025-10-01,카카오,1085646.3918623915
cc08260d-9c72-4de0-837c-cb0574ee2117,2025-10-01,카카오,682355.1087540333
00567b21-253a-4e4a-abb3-7f539d16a4b5,2025-10-01,카카오,1048761.6289317622
91977301-b925-4410-930a-11d9a8393682,2025-10-01,카카오,658980.3139026663
e2e37e8a-3f28-488e-9881-85927b1aa1e9,2025-10-01,카카오,1253581.805482366
ef80cbea-70cf-47b3-8ea7-ad3c594c3c81,2025-10-01,토스,830100.8148529567
d68cca0a-62e8-43e2-b42d-6f97298c0744,2025-10-01,토스,1161694.9678391817
5b21da70-bbe5-4b4b-982c-22be77fe0f4b,2025-10-01,토스,1090320.153317983
775f5d1a-3aa9-452a-a773-df93a2f39f07,2025-10-01,토스,1110089.9185018842
5618c9c3-8925-47b2-b0a9-2eb85938af08,2025-10-01,토스,1117746.5040268637
037b9fe5-aa2c-4d6f-875a-e14280cc730c,2025-10-01,토스,2141333.3925424945
18cf3189-b0f4-4127-bef2-fc225be40c6e,2025-10-01,구글,1291179.0585236065
e72a98c4-865c-410d-b5af-f6d6e1f70cfd,2025-10-01,구글,1331270.908544873
e07d4ddb-a883-4697-9a71-36f6b32b870b,2025-10-01,구글,1246202.700788822
83d6fd98-3615-44c0-b460-35ca7ea44748,2025-10-01,구글,836308.2417718548
2d574722-0b38-4314-ab78-e0f31ab2415e,2025-10-01,구글,1124651.7322729314
1fd6eba1-4f82-45ff-914e-2408e5ca1ff8,2025-10-01,구글,1082601.019203451
569c9f29-fb5c-45d1-8714-739ef406d1fb,2025-10-01,구글,1119662.6300100856
e2af855b-a847-407c-86b6-bd35bde753bd,2025-10-01,구글,1388788.3502434965
f300fe95-455d-4050-a405-2707290da5c3,2025-10-01,구글,1121477.161918889
3a27ccc6-38eb-42cb-8941-25a9a36a9db3,2025-10-01,구글,1303302.7969675802
55bfdc92-54d9-4985-b31c-547f4c620365,2025-10-01,구글,1065198.6128740502
f2ced4e0-4eba-4315-9091-f7d81ada6621,2025-10-01,메타,607196.3044636734
8636a1b3-c653-4cd4-aba7-3f4faa6b6518,2025-10-01,메타,1264580.7559180988
43c3d4fd-a885-443f-952a-837a603227bd,2025-10-01,메타,437920.18927283585
c9e0b41b-2baf-43dc-81a0-1fef9deca31d,2025-10-01,메타,750868.5282232488
c4a560bb-f17d-45ca-812e-4c0a9b4b2053,2025-10-01,메타,916246.8471785836
464d30ac-f70f-427d-8929-026e72820366,2025-10-01,메타,1085367.0662744322
6679f450-926a-4d82-8e2b-94f063338294,2025-10-01,네이버,574355.7599003628
81051d61-c6d1-484d-913d-a4c7cb4e731e,2025-10-01,네이버,604567.1058850588
e3061ef6-a9af-4d2c-8657-aa22863edffb,2025-10-01,네이버,652945.2281742363
b3fe2433-e0a1-4f9a-a240-f4d7344736ff,2025-10-01,네이버,1087322.9437432764
0b400c32-170e-4c6b-bc3c-e36e14c139da,2025-10-01,쿠팡,987194.4809249325
ca00f7a3-19e1-4831-aa48-03a20d91bd54,2025-10-01,쿠팡,617088.5727412924
d74a9a68-083e-40b9-9af6-f179e18a43cf,2025-10-02,카카오,1163499.2752127321
a3fd5070-71be-4781-ac59-df3181a51908,2025-10-02,카카오,890544.1247952243
a32ec361-81f5-4720-adba-3d52a741dbd1,2025-10-02,카카오,794845.8229488638
4722505e-22b6-49bf-958a-0a0b4d5bb181,2025-10-02,카카오,896412.9583808932
d3ae3d1d-2073-4354-9a64-271388b6d5f8,2025-10-02,카카오,510676.0927140004
46bb052d-b938-4155-8ecd-60ee90db3341,2025-10-02,카카오,555469.2246175999
5c7da019-12f1-48e2-aff9-e312c164dede,2025-10-02,카카오,580191.2017127399
4ebecc68-34c6-4f8e-a222-fd559a87a14a,2025-10-02,카카오,650191.0104842619
b7ce2c00-49b4-45fc-9b58-ea44e6524050,2025-10-02,카카오,1060211.346813174
b64539af-6c84-4e5a-b98f-4b13046ffb8c,2025-10-02,카카오,671413.3057642678
f614fad7-d8aa-485b-a6cf-495f1c4ed18a,2025-10-02,토스,492244.7959339218
076b02ea-7e6a-43fc-b8be-f23f11a7bcfe,2025-10-02,토스,1119277.7506979688
5981d045-e4a5-4e95-a484-792bdbfc1a8a,2025-10-02,토스,1038671.1504362886
9016126d-0d3b-4f3c-b852-09d1ccf3d39c,2025-10-02,토스,757164.7938794615
e3cf463e-e07e-4088-8ca7-dc1e7a12b6ab,2025-10-02,토스,547770.2359760539
a78a15f3-2ba1-4755-9f4c-8e5c7cc2d173,2025-10-02,토스,975321.4599878906
5d25eb96-6f21-4874-a251-0bfb94bf0cf6,2025-10-02,구글,1171901.4836746734
035f6399-a686-426a-bfed-f3cf2d280d26,2025-10-02,구글,1688347.3210206262
6cec3a0b-9802-4d88-ab99-c11b2fb72d8b,2025-10-02,구글,703679.9602375259
224138b2-9b92-4834-b149-3cf1cec823b6,2025-10-02,구글,843447.3259073539
c3dbf8d4-9253-4b41-9ea7-b3889b578ebd,2025-10-02,구글,767275.0930321658
