date,channel,campaign_id,message_type,spend,leads,tm_attempts,tm_connected,contracts,premium,cpl,cpa_contract,connect_rate,close_rate,leads_per_spend,attempts_per_lead,connected_per_attempt,contracts_per_connected,premium_per_contract,roi,roi_implied
2025-10-01,google,G1,Short,12.12,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-01,google,G1,Long,16.8,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-01,google,G2,Short,5.46,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-01,google,G2,Long,8.64,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-02,google,G1,Short,17.89,5,6,1,0,0.0,3.5780000000000003,,0.16666666666666666,0.0,0.27948574622694244,1.2,0.16666666666666666,0.0,,0.0,
2025-10-02,google,G1,Long,3.21,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-02,google,G2,Short,13.96,4,1,1,0,0.0,3.49,,1.0,0.0,0.28653295128939826,0.25,1.0,0.0,,0.0,
2025-10-02,google,G2,Long,2.56,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-03,google,G1,Short,5.01,2,0,0,0,0.0,2.505,,,,0.3992015968063872,0.0,,,,0.0,
2025-10-03,google,G1,Long,24.78,6,6,1,0,0.0,4.13,,0.16666666666666666,0.0,0.24213075060532688,1.0,0.16666666666666666,0.0,,0.0,
2025-10-03,google,G2,Short,1.43,1,0,0,0,0.0,1.43,,,,0.6993006993006994,0.0,,,,0.0,
2025-10-03,google,G2,Long,15.89,2,1,0,0,0.0,7.945,,0.0,,0.12586532410320955,0.5,0.0,,,0.0,
2025-10-04,google,G1,Short,11.78,3,1,0,0,0.0,3.9266666666666663,,0.0,,0.2546689303904924,0.3333333333333333,0.0,,,0.0,
2025-10-04,google,G1,Long,5.79,3,2,0,0,0.0,1.93,,0.0,,0.5181347150259067,0.6666666666666666,0.0,,,0.0,
2025-10-04,google,G2,Short,6.79,1,1,0,0,0.0,6.79,,0.0,,0.14727540500736377,1.0,0.0,,,0.0,
2025-10-04,google,G2,Long,7.3,4,1,1,0,0.0,1.825,,1.0,0.0,0.547945205479452,0.25,1.0,0.0,,0.0,
2025-10-05,google,G1,Short,2.86,0,2,2,0,0.0,,,1.0,0.0,0.0,,1.0,0.0,,0.0,
2025-10-05,google,G1,Long,5.64,4,4,0,0,0.0,1.41,,0.0,,0.7092198581560284,1.0,0.0,,,0.0,
2025-10-05,google,G2,Short,5.02,2,5,0,0,0.0,2.51,,0.0,,0.39840637450199207,2.5,0.0,,,0.0,
2025-10-05,google,G2,Long,14.08,11,3,2,0,0.0,1.28,,0.6666666666666666,0.0,0.78125,0.2727272727272727,0.6666666666666666,0.0,,0.0,
2025-10-06,google,G1,Short,3.63,1,0,0,0,0.0,3.63,,,,0.27548209366391185,0.0,,,,0.0,
2025-10-06,google,G1,Long,18.33,4,6,4,0,0.0,4.5825,,0.6666666666666666,0.0,0.21822149481723951,1.5,0.6666666666666666,0.0,,0.0,
2025-10-06,google,G2,Short,6.18,1,2,0,0,0.0,6.18,,0.0,,0.16181229773462785,2.0,0.0,,,0.0,
2025-10-06,google,G2,Long,6.85,5,2,0,0,0.0,1.3699999999999999,,0.0,,0.7299270072992701,0.4,0.0,,,0.0,
2025-10-07,google,G1,Short,6.61,2,1,0,0,0.0,3.305,,0.0,,0.302571860816944,0.5,0.0,,,0.0,
2025-10-07,google,G1,Long,6.61,3,5,2,0,0.0,2.2033333333333336,,0.4,0.0,0.45385779122541603,1.6666666666666667,0.4,0.0,,0.0,
2025-10-07,google,G2,Short,27.94,8,7,2,0,0.0,3.4925,,0.2857142857142857,0.0,0.28632784538296346,0.875,0.2857142857142857,0.0,,0.0,
2025-10-07,google,G2,Long,5.7,2,0,0,0,0.0,2.85,,,,0.3508771929824561,0.0,,,,0.0,
2025-10-08,google,G1,Short,10.54,4,2,1,0,0.0,2.635,,0.5,0.0,0.3795066413662239,0.5,0.5,0.0,,0.0,
2025-10-08,google,G1,Long,19.96,5,8,1,0,0.0,3.992,,0.125,0.0,0.250501002004008,1.6,0.125,0.0,,0.0,
2025-10-08,google,G2,Short,9.91,2,0,0,0,0.0,4.955,,,,0.20181634712411706,0.0,,,,0.0,
2025-10-08,google,G2,Long,5.38,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-09,google,G1,Short,12.69,4,2,0,0,0.0,3.1725,,0.0,,0.31520882584712373,0.5,0.0,,,0.0,
2025-10-09,google,G1,Long,11.62,2,1,1,0,0.0,5.81,,1.0,0.0,0.17211703958691912,0.5,1.0,0.0,,0.0,
2025-10-09,google,G2,Short,7.02,2,1,0,0,0.0,3.51,,0.0,,0.2849002849002849,0.5,0.0,,,0.0,
2025-10-09,google,G2,Long,13.16,4,2,0,0,0.0,3.29,,0.0,,0.303951367781155,0.5,0.0,,,0.0,
2025-10-10,google,G1,Short,5.81,1,1,0,0,0.0,5.81,,0.0,,0.17211703958691912,1.0,0.0,,,0.0,
2025-10-10,google,G1,Long,10.1,7,4,1,0,0.0,1.4428571428571428,,0.25,0.0,0.6930693069306931,0.5714285714285714,0.25,0.0,,0.0,
2025-10-10,google,G2,Short,5.62,1,2,0,0,0.0,5.62,,0.0,,0.17793594306049823,2.0,0.0,,,0.0,
